node,timestamp,cpu,mem,net_out,net_in,latency
kind-worker,1768896216.9675121,1.2,19.6,189994,342140,3.9365291595458984
kind-worker,1768896221.9774487,1.2,19.6,190583,343181,3.3829212188720703
kind-worker,1768896226.988345,1.3,19.6,191130,344180,3.9145946502685547
kind-worker,1768896231.9932816,1.3,19.6,191677,345179,3.021240234375
kind-worker,1768896237.0028014,1.3,19.6,192224,346178,2.9211044311523438
kind-worker2,1768896216.66753,1.1,19.6,189518,341594,4.145622253417969
kind-worker2,1768896221.6786737,1.3,19.6,190065,342593,4.032135009765625
kind-worker2,1768896226.6930833,1.3,19.6,190654,343634,12.923479080200195
kind-worker2,1768896231.7182326,1.2,19.6,191243,344675,18.60809326171875
kind-worker2,1768896236.7289126,1.4,19.6,191790,345674,3.0934810638427734
kind-worker2,1768896239.89716,1.3,19.7,192337,346673,2.819061279296875
kind-worker2,1768896244.9085798,1.2,19.7,192884,347672,3.951549530029297
kind-worker2,1768896249.9242823,1.5,19.7,193431,348671,4.029035568237305
kind-worker2,1768896254.9355955,1.2,19.7,193978,349670,3.750324249267578
kind-worker2,1768896259.953769,1.4,19.7,194525,350669,11.793851852416992
kind-worker,1768896240.1667225,1.3,19.7,192813,347219,2.9382705688476562
kind-worker,1768896245.1783028,1.2,19.7,193360,348218,3.9200782775878906
kind-worker,1768896250.189064,1.5,19.7,193907,349217,3.2176971435546875
kind-worker,1768896255.2021322,1.2,19.7,194496,350258,3.335237503051758
kind-worker,1768896260.2124178,1.4,19.7,195043,351257,3.4637451171875
kind-worker2,1768896264.9648774,1.8,19.9,195114,351710,3.9453506469726562
kind-worker,1768896265.2201908,1.7,19.9,195590,352256,3.515005111694336
kind-worker2,1768896267.964358,1.6,19.9,195661,352709,3.1838417053222656
kind-worker,1768896268.2203965,1.6,19.9,196137,353255,3.8404464721679688
kind-worker2,1768896272.9906902,1.3,19.9,196250,353750,19.672870635986328
kind-worker,1768896273.229148,1.3,19.9,196684,354254,3.08990478515625
kind-worker2,1768896278.0001159,1.3,19.9,196797,354749,3.4329891204833984
kind-worker,1768896278.2333057,1.4,19.9,197231,355253,3.238677978515625
kind-worker2,1768896283.009511,1.3,19.9,197344,355748,3.0434131622314453
kind-worker,1768896283.2413957,1.2,19.9,197820,356294,3.057241439819336
kind-worker2,1768896288.0182896,1.7,19.9,197891,356747,3.7958621978759766
kind-worker,1768896288.2507925,1.7,19.9,198409,357335,3.385782241821289
kind-worker2,1768896293.0506804,1.3,19.9,198438,357746,23.08511734008789
kind-worker,1768896293.2610474,1.3,19.9,198956,358334,3.3833980560302734
kind-worker2,1768896298.0606933,1.3,19.9,198985,358745,3.3130645751953125
kind-worker,1768896298.2702658,1.5,19.9,199503,359333,2.958536148071289
kind-worker2,1768896301.324746,1.5,19.9,199574,359786,3.572225570678711
kind-worker,1768896301.530042,1.4,19.9,200050,360332,3.6478042602539062
kind-worker2,1768896306.3368332,1.3,19.9,200121,360785,4.066228866577148
kind-worker,1768896306.5396223,1.4,19.9,200597,361331,2.982616424560547
kind-worker2,1768896311.3468337,1.4,19.9,200668,361784,3.635883331298828
kind-worker,1768896311.832194,1.3,19.9,201144,362330,286.63015365600586
kind-worker2,1768896316.353435,1.5,19.9,201257,362825,3.5140514373779297
kind-worker,1768896316.8425012,1.5,19.9,201733,363371,3.239154815673828
kind-worker2,1768896321.364296,1.4,19.9,201804,363824,4.287958145141602
kind-worker,1768896321.8529763,1.4,19.9,202280,364370,3.9653778076171875
kind-worker2,1768896326.372928,1.3,19.9,202351,364823,2.6972293853759766
